name,genre,all_reviews,tone
"Warhammer 40,000: Dawn of War II: Retribution",Strategy,"7 user reviews,- Need more user reviews to generate a score",NA
GOD WARS The Complete Legend,"Adventure,RPG,Simulation","Positive,(11),- 100% of the 11 user reviews for this game are positive.",NA
Counter-Strike: Source,Action,"Overwhelmingly Positive,(45,829),- 95% of the 45,829 user reviews for this game are positive.",NA
The Evil Within,Action,"Very Positive,(7,855),- 80% of the 7,855 user reviews for this game are positive.",Very Positive
Bright Memory(Early Access) / 光明记忆,"Action,Adventure,Indie,Early Access","Very Positive,(7,779),- 93% of the 7,779 user reviews for this game are positive.",Very Positive
STAR WARS™ Empire at War - Gold Pack,Strategy,"Very Positive,(5,997),- 94% of the 5,997 user reviews for this game are positive.",Very Positive
Dishonored®: Death of the Outsider™,Action,"Very Positive,(2,396),- 82% of the 2,396 user reviews for this game are positive.",Very Positive
Street Fighter V,Action,"Mixed,(9,007),- 52% of the 9,007 user reviews for this game are positive.",Mixed
The Jackbox Party Pack 2,"Casual,Indie,Strategy","Very Positive,(417),- 94% of the 417 user reviews for this game are positive.",Very Positive
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access","Very Positive,(88),- 80% of the 88 user reviews for this game are positive.",Very Positive
Battlefleet Gothic: Armada 2,Strategy,"Mostly Positive,(1,731),- 72% of the 1,731 user reviews for this game are positive.",Mostly Positive
RUNNING WITH RIFLES,"Action,Indie","Very Positive,(5,090),- 87% of the 5,090 user reviews for this game are positive.",Very Positive
The Witcher: Enhanced Edition Director's Cut,"Action,RPG","Very Positive,(28,082),- 85% of the 28,082 user reviews for this game are positive.",Very Positive
Middle-earth™: Shadow of War™,"Action,Adventure,RPG","Mostly Positive,(16,973),- 77% of the 16,973 user reviews for this game are positive.",Mostly Positive
Forts,"Action,Strategy","Mostly Positive,(1,786),- 79% of the 1,786 user reviews for this game are positive.",Mostly Positive
The Lord of the Rings Online™,"Free to Play,Massively Multiplayer,RPG","Very Positive,(8,597),- 80% of the 8,597 user reviews for this game are positive.",Very Positive
Dungeon Munchies,"Action,Adventure,Indie,Early Access","Overwhelmingly Positive,(561),- 98% of the 561 user reviews for this game are positive.",NA
Pillars of Eternity,RPG,"Very Positive,(8,015),- 84% of the 8,015 user reviews for this game are positive.",Very Positive
Graveyard Keeper,"Adventure,Indie,RPG,Simulation","Mostly Positive,(5,694),- 75% of the 5,694 user reviews for this game are positive.",Mostly Positive
The Elder Scrolls®: Legends™,Free to Play,"Mostly Positive,(7,557),- 71% of the 7,557 user reviews for this game are positive.",Mostly Positive
Northgard,"Indie,Simulation,Strategy","Very Positive,(12,784),- 83% of the 12,784 user reviews for this game are positive.",Very Positive
Realm Royale,"Action,Free to Play,Early Access","Mixed,(27,708),- 64% of the 27,708 user reviews for this game are positive.",Mixed
Gang Beasts,"Action,Adventure,Casual,Indie","Mixed,(16,225),- 69% of the 16,225 user reviews for this game are positive.",Mixed
Total War: MEDIEVAL II – Definitive Edition,Strategy,"Very Positive,(7,674),- 93% of the 7,674 user reviews for this game are positive.",Very Positive
Tales of Vesperia: Definitive Edition,RPG,"Very Positive,(479),- 86% of the 479 user reviews for this game are positive.",Very Positive
FINAL FANTASY X/X-2 HD Remaster,RPG,"Very Positive,(6,100),- 89% of the 6,100 user reviews for this game are positive.",Very Positive
Return of the Obra Dinn,"Adventure,Indie","Overwhelmingly Positive,(4,030),- 96% of the 4,030 user reviews for this game are positive.",NA
Castle Crashers®,"Action,Adventure,Casual,Indie,RPG","Overwhelmingly Positive,(37,698),- 96% of the 37,698 user reviews for this game are positive.",NA
Call of Duty®: WWII,Action,"Mixed,(12,703),- 54% of the 12,703 user reviews for this game are positive.",Mixed
MudRunner,Simulation,"Very Positive,(6,311),- 82% of the 6,311 user reviews for this game are positive.",Very Positive
Keep Talking and Nobody Explodes,Indie,"Overwhelmingly Positive,(4,809),- 98% of the 4,809 user reviews for this game are positive.",NA
SPORE™,Simulation,"Very Positive,(15,680),- 87% of the 15,680 user reviews for this game are positive.",Very Positive
Contra Anniversary Collection,Action,"Mostly Positive,(35),- 71% of the 35 user reviews for this game are positive.",Mostly Positive
Fishing Planet,"Free to Play,Massively Multiplayer,Simulation,Sports","Mostly Positive,(14,138),- 76% of the 14,138 user reviews for this game are positive.",Mostly Positive
Just Cause™ 3,"Action,Adventure","Mostly Positive,(37,858),- 73% of the 37,858 user reviews for this game are positive.",Mostly Positive
BioShock Infinite,Action,"Overwhelmingly Positive,(59,252),- 95% of the 59,252 user reviews for this game are positive.",NA
Men of War: Assault Squad 2,"Action,Simulation,Strategy","Very Positive,(10,495),- 84% of the 10,495 user reviews for this game are positive.",Very Positive
Dungeons & Dragons Online®,"Action,Adventure,Free to Play,Massively Multiplayer,RPG","Mostly Positive,(2,454),- 70% of the 2,454 user reviews for this game are positive.",Mostly Positive
JUMP FORCE,Action,"Mixed,(2,677),- 55% of the 2,677 user reviews for this game are positive.",Mixed
Desert Skies,"Action,Adventure,Indie,Early Access","Very Positive,(51),- 86% of the 51 user reviews for this game are positive.",Very Positive
Ring of Elysium,"Action,Free to Play,Massively Multiplayer,Early Access","Mostly Positive,(54,938),- 74% of the 54,938 user reviews for this game are positive.",Mostly Positive
METAL GEAR SOLID V: THE PHANTOM PAIN,"Action,Adventure","Very Positive,(27,036),- 88% of the 27,036 user reviews for this game are positive.",Very Positive
TEKKEN 7,"Action,Sports","Very Positive,(12,948),- 81% of the 12,948 user reviews for this game are positive.",Very Positive
Golf It!,"Casual,Indie,Simulation,Sports,Early Access","Very Positive,(3,348),- 80% of the 3,348 user reviews for this game are positive.",Very Positive
Shadow Tactics: Blades of the Shogun,"Indie,Strategy","Overwhelmingly Positive,(7,238),- 95% of the 7,238 user reviews for this game are positive.",NA
Heroes & Generals,"Action,Free to Play,Indie,Massively Multiplayer,Strategy","Mixed,(101,309),- 65% of the 101,309 user reviews for this game are positive.",Mixed
Ultimate Doom,Action,"Very Positive,(3,511),- 93% of the 3,511 user reviews for this game are positive.",Very Positive
GORN,"Action,Indie,Early Access","Overwhelmingly Positive,(3,286),- 96% of the 3,286 user reviews for this game are positive.",NA
DRAGON BALL FighterZ,Action,"Very Positive,(8,966),- 82% of the 8,966 user reviews for this game are positive.",Very Positive
Fantasy Grounds,"Indie,RPG,Strategy","Mostly Positive,(381),- 75% of the 381 user reviews for this game are positive.",Mostly Positive
DRAGON BALL XENOVERSE 2,"Action,Adventure,Casual,Massively Multiplayer","Mostly Positive,(9,192),- 78% of the 9,192 user reviews for this game are positive.",Mostly Positive
Frostpunk,"Simulation,Strategy","Very Positive,(22,352),- 86% of the 22,352 user reviews for this game are positive.",Very Positive
Universe Sandbox ²,"Casual,Indie,Simulation,Early Access","Very Positive,(5,507),- 93% of the 5,507 user reviews for this game are positive.",Very Positive
Shadowverse CCG,"Free to Play,Strategy","Mostly Positive,(7,712),- 73% of the 7,712 user reviews for this game are positive.",Mostly Positive
Fable Anniversary,RPG,"Mostly Positive,(4,586),- 77% of the 4,586 user reviews for this game are positive.",Mostly Positive
Baldur's Gate II: Enhanced Edition,"RPG,Strategy","Very Positive,(2,720),- 85% of the 2,720 user reviews for this game are positive.",Very Positive
Freestyle 2: Street Basketball,"Action,Casual,Free to Play,Massively Multiplayer,Sports","Mostly Positive,(8,097),- 72% of the 8,097 user reviews for this game are positive.",Mostly Positive
PC Building Simulator,"Indie,Simulation","Very Positive,(6,807),- 88% of the 6,807 user reviews for this game are positive.",Very Positive
Battle Brothers,"Indie,RPG,Strategy","Very Positive,(5,939),- 86% of the 5,939 user reviews for this game are positive.",Very Positive
The Surge,"Action,RPG","Mostly Positive,(3,174),- 74% of the 3,174 user reviews for this game are positive.",Mostly Positive
Total War Saga: THRONES OF BRITANNIA,"Action,Strategy","Mixed,(4,915),- 55% of the 4,915 user reviews for this game are positive.",Mixed
Parkitect,"Indie,Simulation","Very Positive,(1,589),- 89% of the 1,589 user reviews for this game are positive.",Very Positive
Between the Stars,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access","Very Positive,(245),- 82% of the 245 user reviews for this game are positive.",Very Positive
ShellShock Live,"Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access","Very Positive,(10,687),- 89% of the 10,687 user reviews for this game are positive.",Very Positive
Endless Legend™,"RPG,Strategy","Very Positive,(9,773),- 82% of the 9,773 user reviews for this game are positive.",Very Positive
Devolver Bootleg,"Action,Adventure,Casual,Indie,Sports","Very Positive,(340),- 95% of the 340 user reviews for this game are positive.",Very Positive
DiRT Rally 2.0,"Racing,Simulation,Sports","Mixed,(1,196),- 64% of the 1,196 user reviews for this game are positive.",Mixed
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,Action,"Very Positive,(644),- 84% of the 644 user reviews for this game are positive.",Very Positive
Warface,"Action,Free to Play,Massively Multiplayer","Mixed,(47,716),- 69% of the 47,716 user reviews for this game are positive.",Mixed
Assassin's Creed® Origins,"Action,Adventure,RPG","Very Positive,(33,278),- 83% of the 33,278 user reviews for this game are positive.",Very Positive
House Party,"Adventure,Casual,Indie,Simulation,Early Access","Very Positive,(3,858),- 84% of the 3,858 user reviews for this game are positive.",Very Positive
Empyrion - Galactic Survival,"Adventure,Indie,Simulation,Strategy,Early Access","Very Positive,(12,121),- 80% of the 12,121 user reviews for this game are positive.",Very Positive
WWE 2K19,"Simulation,Sports","Mixed,(897),- 59% of the 897 user reviews for this game are positive.",Mixed
Dragon's Dogma: Dark Arisen,"Action,Adventure,RPG","Very Positive,(10,683),- 87% of the 10,683 user reviews for this game are positive.",Very Positive
"Warhammer 40,000: Gladius - Relics of War",Strategy,"Mostly Positive,(1,147),- 77% of the 1,147 user reviews for this game are positive.",Mostly Positive
Scrap Mechanic,"Action,Adventure,Indie,Simulation,Early Access","Very Positive,(16,220),- 84% of the 16,220 user reviews for this game are positive.",Very Positive
Generation Zero,"Action,Adventure","Mixed,(2,684),- 45% of the 2,684 user reviews for this game are positive.",Mixed
Total War: ATTILA,Strategy,"Mostly Positive,(11,602),- 73% of the 11,602 user reviews for this game are positive.",Mostly Positive
Prison Architect,"Indie,Simulation,Strategy","Very Positive,(28,180),- 93% of the 28,180 user reviews for this game are positive.",Very Positive
Eco,"Indie,Simulation,Early Access","Mostly Positive,(2,033),- 71% of the 2,033 user reviews for this game are positive.",Mostly Positive
Thief Simulator,"Action,Adventure,Indie,Simulation","Mostly Positive,(2,335),- 77% of the 2,335 user reviews for this game are positive.",Mostly Positive
Bloons TD 6,Strategy,"Mixed,(862),- 68% of the 862 user reviews for this game are positive.",Mixed
DUSK,"Action,Indie","Overwhelmingly Positive,(3,452),- 97% of the 3,452 user reviews for this game are positive.",NA
Ori and the Blind Forest,Action,"Overwhelmingly Positive,(24,439),- 96% of the 24,439 user reviews for this game are positive.",NA
Wizard of Legend,"Action,Adventure,Indie","Very Positive,(3,970),- 88% of the 3,970 user reviews for this game are positive.",Very Positive
MapleStory 2,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation","Mostly Positive,(7,088),- 74% of the 7,088 user reviews for this game are positive.",Mostly Positive
The Jackbox Party Pack 4,"Casual,Indie,Strategy","Very Positive,(278),- 81% of the 278 user reviews for this game are positive.",Very Positive
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,Action,"Overwhelmingly Positive,(3,686),- 95% of the 3,686 user reviews for this game are positive.",NA
Steam Controller,Valve,"Mostly Positive,(7,942),- 73% of the 7,942 user reviews for this hardware are positive.",Mostly Positive
Two Point Hospital,"Indie,Simulation","Very Positive,(5,255),- 83% of the 5,255 user reviews for this game are positive.",Very Positive
The Universim,"Indie,Simulation,Strategy,Early Access","Mostly Positive,(1,656),- 73% of the 1,656 user reviews for this game are positive.",Mostly Positive
Sniper Elite 4,"Action,Adventure","Very Positive,(11,168),- 85% of the 11,168 user reviews for this game are positive.",Very Positive
Divinity: Original Sin - Enhanced Edition,"Adventure,Indie,RPG,Strategy","Very Positive,(9,328),- 88% of the 9,328 user reviews for this game are positive.",Very Positive
Automation - The Car Company Tycoon Game,"Simulation,Strategy,Early Access","Very Positive,(1,568),- 82% of the 1,568 user reviews for this game are positive.",Very Positive
Call of Duty®: Modern Warfare® 3,Action,"1 user reviews,- Need more user reviews to generate a score",NA
SCUM,"Action,Adventure,Indie,Massively Multiplayer,Early Access","Mixed,(22,177),- 64% of the 22,177 user reviews for this game are positive.",Mixed
Reventure,"Adventure,Indie","Very Positive,(617),- 94% of the 617 user reviews for this game are positive.",Very Positive
Job Simulator,Simulation,"Very Positive,(823),- 83% of the 823 user reviews for this game are positive.",Very Positive
Watch_Dogs® 2,"Action,Adventure","Mostly Positive,(24,747),- 78% of the 24,747 user reviews for this game are positive.",Mostly Positive
Town of Salem,"Indie,RPG,Strategy","Very Positive,(13,158),- 86% of the 13,158 user reviews for this game are positive.",Very Positive
VEGA Conflict,"Free to Play,Massively Multiplayer,Strategy","Mixed,(2,827),- 52% of the 2,827 user reviews for this game are positive.",Mixed
Foundation,"Indie,Simulation,Strategy,Early Access","Mostly Positive,(1,546),- 74% of the 1,546 user reviews for this game are positive.",Mostly Positive
Shadow of the Tomb Raider,"Action,Adventure","Mostly Positive,(9,220),*,- 74% of the 9,220 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Mostly Positive
Golf With Your Friends,"Casual,Indie,Sports,Early Access","Very Positive,(13,457),- 89% of the 13,457 user reviews for this game are positive.",Very Positive
The Witcher 2: Assassins of Kings Enhanced Edition,RPG,"Very Positive,(35,412),- 88% of the 35,412 user reviews for this game are positive.",Very Positive
The Elder Scrolls IV: Oblivion® Game of the Year Edition,RPG,"Very Positive,(11,784),- 94% of the 11,784 user reviews for this game are positive.",Very Positive
Company of Heroes 2,Strategy,"Mostly Positive,(27,873),- 74% of the 27,873 user reviews for this game are positive.",Mostly Positive
PlanetSide 2,"Action,Free to Play,Massively Multiplayer","Very Positive,(44,454),- 81% of the 44,454 user reviews for this game are positive.",Very Positive
Rocksmith® 2014 Edition - Remastered,"Casual,Simulation","Very Positive,(4,582),- 89% of the 4,582 user reviews for this game are positive.",Very Positive
Naval Action,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy","Mixed,(4,179),- 59% of the 4,179 user reviews for this game are positive.",Mixed
ACE COMBAT™ 7: SKIES UNKNOWN,"Action,Simulation","Mostly Positive,(4,786),- 73% of the 4,786 user reviews for this game are positive.",Mostly Positive
Vacation Simulator,"Action,Adventure,Simulation","Very Positive,(137),- 86% of the 137 user reviews for this game are positive.",Very Positive
Baldur's Gate: Enhanced Edition,"RPG,Strategy","Very Positive,(4,292),- 85% of the 4,292 user reviews for this game are positive.",Very Positive
The Golf Club™ 2019 featuring PGA TOUR,"Indie,Simulation,Sports,Strategy","Mixed,(364),- 57% of the 364 user reviews for this game are positive.",Mixed
Far Cry® 5,"Action,Adventure","Mixed,(31,338),- 67% of the 31,338 user reviews for this game are positive.",Mixed
Pummel Party,"Action,Casual,Indie","Very Positive,(1,571),- 82% of the 1,571 user reviews for this game are positive.",Very Positive
Idle Champions of the Forgotten Realms,"Action,Adventure,Free to Play,Indie,Strategy,Early Access","Very Positive,(3,738),- 80% of the 3,738 user reviews for this game are positive.",Very Positive
The Isle,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access","Mixed,(10,033),- 69% of the 10,033 user reviews for this game are positive.",Mixed
iRacing,"Massively Multiplayer,Racing,Simulation,Sports","Mostly Positive,(363),- 77% of the 363 user reviews for this game are positive.",Mostly Positive
"Hot Dogs, Horseshoes & Hand Grenades","Action,Indie,Simulation,Early Access","Overwhelmingly Positive,(3,181),- 96% of the 3,181 user reviews for this game are positive.",NA
Crush Crush,"Casual,Free to Play,Indie","Very Positive,(8,410),- 87% of the 8,410 user reviews for this game are positive.",Very Positive
Call of Duty®: Black Ops II,Action,"Very Positive,(9,096),- 82% of the 9,096 user reviews for this game are positive.",Very Positive
Undertale,"Indie,RPG","Overwhelmingly Positive,(87,700),- 95% of the 87,700 user reviews for this game are positive.",NA
The Evil Within 2,"Action,Adventure","Very Positive,(5,271),- 90% of the 5,271 user reviews for this game are positive.",Very Positive
Project CARS 2,Racing,"Mostly Positive,(3,746),- 71% of the 3,746 user reviews for this game are positive.",Mostly Positive
FINAL FANTASY VII,RPG,"Very Positive,(10,938),- 92% of the 10,938 user reviews for this game are positive.",Very Positive
Euro Truck Simulator 2,"Indie,Simulation","Overwhelmingly Positive,(132,814),- 96% of the 132,814 user reviews for this game are positive.",NA
Endless Space® 2,Strategy,"Very Positive,(7,583),- 81% of the 7,583 user reviews for this game are positive.",Very Positive
Stick Fight: The Game,"Action,Casual,Indie","Very Positive,(23,264),- 89% of the 23,264 user reviews for this game are positive.",Very Positive
Fell Seal: Arbiter's Mark,"Indie,RPG,Strategy","Very Positive,(725),- 92% of the 725 user reviews for this game are positive.",Very Positive
Out of the Park Baseball 20,"Indie,Simulation,Sports,Strategy","Very Positive,(184),- 91% of the 184 user reviews for this game are positive.",Very Positive
Project Winter,"Action,Adventure,Casual,Indie,Strategy","Mostly Positive,(401),- 75% of the 401 user reviews for this game are positive.",Mostly Positive
Dishonored,"Action,Adventure","Overwhelmingly Positive,(31,375),- 96% of the 31,375 user reviews for this game are positive.",NA
Assetto Corsa,"Indie,Racing,Simulation,Sports","Very Positive,(14,923),- 86% of the 14,923 user reviews for this game are positive.",Very Positive
Trove,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG","Mostly Positive,(62,025),- 77% of the 62,025 user reviews for this game are positive.",Mostly Positive
My Time At Portia,"Adventure,Casual,Indie,RPG,Simulation","Very Positive,(10,245),- 90% of the 10,245 user reviews for this game are positive.",Very Positive
Fallout 4 VR,RPG,"Mostly Positive,(2,407),- 70% of the 2,407 user reviews for this game are positive.",Mostly Positive
Enter the Gungeon,"Action,Adventure,Indie","Very Positive,(24,391),- 94% of the 24,391 user reviews for this game are positive.",Very Positive
Arizona Sunshine,"Action,Adventure,Indie","Very Positive,(3,248),- 85% of the 3,248 user reviews for this game are positive.",Very Positive
Age of Mythology: Extended Edition,"Simulation,Strategy","Very Positive,(9,138),- 85% of the 9,138 user reviews for this game are positive.",Very Positive
Football Manager 2019,"Simulation,Sports","Mostly Positive,(2,566),- 71% of the 2,566 user reviews for this game are positive.",Mostly Positive
FINAL FANTASY XV WINDOWS EDITION,RPG,"Mostly Positive,(12,902),- 77% of the 12,902 user reviews for this game are positive.",Mostly Positive
Gold Rush: The Game,"Indie,Simulation","Mixed,(4,598),- 62% of the 4,598 user reviews for this game are positive.",Mixed
Jump King,"Action,Adventure,Indie","Very Positive,(102),- 87% of the 102 user reviews for this game are positive.",Very Positive
Train Simulator 2019,Simulation,"Mixed,(9,340),- 62% of the 9,340 user reviews for this game are positive.",Mixed
Just Shapes & Beats,"Action,Indie","Overwhelmingly Positive,(2,124),- 96% of the 2,124 user reviews for this game are positive.",NA
Call of Duty: World at War,Action,"Very Positive,(17,438),- 92% of the 17,438 user reviews for this game are positive.",Very Positive
Killing Floor 2,Action,"Very Positive,(46,412),- 89% of the 46,412 user reviews for this game are positive.",Very Positive
SpellForce 3: Soul Harvest,"RPG,Strategy","Very Positive,(291),- 87% of the 291 user reviews for this game are positive.",Very Positive
Slime Rancher,"Action,Adventure,Indie,Simulation","Overwhelmingly Positive,(21,366),- 96% of the 21,366 user reviews for this game are positive.",NA
MapleStory,"Casual,Free to Play,Massively Multiplayer,RPG","Mixed,(5,387),- 67% of the 5,387 user reviews for this game are positive.",Mixed
KovaaK's FPS Aim Trainer,"Action,Indie,Simulation","Very Positive,(703),- 92% of the 703 user reviews for this game are positive.",Very Positive
Mount & Blade: Warband,"Action,RPG","Overwhelmingly Positive,(59,100),- 97% of the 59,100 user reviews for this game are positive.",NA
World of Tanks Blitz MMO,"Action,Free to Play,Massively Multiplayer","Mostly Positive,(20,835),- 70% of the 20,835 user reviews for this game are positive.",Mostly Positive
Rising Storm 2: Vietnam,"Action,Massively Multiplayer,Simulation,Strategy","Very Positive,(15,667),- 80% of the 15,667 user reviews for this game are positive.",Very Positive
Stormworks: Build and Rescue,"Simulation,Early Access","Very Positive,(1,686),- 87% of the 1,686 user reviews for this game are positive.",Very Positive
Far Cry® New Dawn,"Action,Adventure","Mixed,(3,692),- 69% of the 3,692 user reviews for this game are positive.",Mixed
Don't Starve,"Adventure,Indie,Simulation","Overwhelmingly Positive,(49,909),- 96% of the 49,909 user reviews for this game are positive.",NA
Eastshade,"Adventure,Indie","Very Positive,(679),- 85% of the 679 user reviews for this game are positive.",Very Positive
Zero Caliber VR,"Action,Casual,Indie,Simulation,Early Access","Very Positive,(620),- 80% of the 620 user reviews for this game are positive.",Very Positive
World War 3,"Action,Indie,Early Access","Mixed,(12,384),- 63% of the 12,384 user reviews for this game are positive.",Mixed
Call of Duty®: Modern Warfare® 2,Action,"Very Positive,(14,567),- 89% of the 14,567 user reviews for this game are positive.",Very Positive
Neverwinter,"Adventure,Free to Play,Massively Multiplayer,RPG","Mostly Positive,(24,131),- 77% of the 24,131 user reviews for this game are positive.",Mostly Positive
The Binding of Isaac: Rebirth,Action,"Overwhelmingly Positive,(63,149),- 97% of the 63,149 user reviews for this game are positive.",NA
UNO,Casual,"Mixed,(4,174),- 57% of the 4,174 user reviews for this game are positive.",Mixed
Age of Empires® III: Complete Collection,"Simulation,Strategy","Very Positive,(13,207),- 87% of the 13,207 user reviews for this game are positive.",Very Positive
The Jackbox Party Pack 5,Casual,"Mostly Positive,(252),- 78% of the 252 user reviews for this game are positive.",Mostly Positive
Knights of Pen and Paper 2,"Adventure,Indie,RPG,Simulation,Strategy","Very Positive,(956),- 85% of the 956 user reviews for this game are positive.",Very Positive
Dawn of Man,"Indie,Simulation,Strategy","Mostly Positive,(3,526),- 79% of the 3,526 user reviews for this game are positive.",Mostly Positive
Baba Is You,Indie,"Overwhelmingly Positive,(1,521),- 97% of the 1,521 user reviews for this game are positive.",NA
Microsoft Flight Simulator X: Steam Edition,Simulation,"Mostly Positive,(9,782),- 78% of the 9,782 user reviews for this game are positive.",Mostly Positive
ASTRONEER,"Adventure,Indie","Very Positive,(30,161),- 84% of the 30,161 user reviews for this game are positive.",Very Positive
Hollow Knight,"Action,Adventure,Indie","Overwhelmingly Positive,(37,382),- 95% of the 37,382 user reviews for this game are positive.",NA
Kingdoms and Castles,"Indie,Simulation,Strategy","Very Positive,(7,419),- 85% of the 7,419 user reviews for this game are positive.",Very Positive
Tyranny,"Adventure,RPG","Very Positive,(5,361),- 85% of the 5,361 user reviews for this game are positive.",Very Positive
XCOM® 2,Strategy,"Very Positive,(23,516),- 80% of the 23,516 user reviews for this game are positive.",Very Positive
Elite Dangerous,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy","Mixed,(28,383),- 68% of the 28,383 user reviews for this game are positive.",Mixed
